  PID TTY           TIME CMD
  249 ??         0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  264 ??         0:08.21 /usr/libexec/storagekitd
  271 ??         0:00.10 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  274 ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  279 ??         0:00.05 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  284 ??         2:17.92 /usr/libexec/syspolicyd
  285 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  286 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  287 ??         0:02.29 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  288 ??         0:00.18 /usr/libexec/colorsyncd
  290 ??         0:02.58 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  291 ??         0:02.10 /usr/sbin/distnoted agent
  292 ??         0:57.04 /usr/libexec/audioclocksyncd
  293 ??         0:00.08 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  294 ??         0:00.99 /usr/libexec/countryd
  295 ??         0:00.05 /usr/libexec/secinitd
  297 ??         0:01.18 /System/Library/CoreServices/appleeventsd --server
  300 ??         0:00.09 /usr/sbin/cfprefsd agent
  301 ??         0:02.07 /usr/sbin/distnoted agent
  302 ??         0:05.18 /usr/sbin/appleh13camerad
  303 ??         0:00.55 /usr/libexec/trustd --agent
  304 ??         0:00.08 /usr/libexec/cameracaptured
  305 ??         0:00.22 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  306 ??         0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  307 ??         0:04.74 /usr/libexec/audioanalyticsd
  308 ??         0:00.03 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  309 ??         0:00.03 /usr/libexec/bootinstalld
  310 ??         0:00.07 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000be9 com.apple.DriverKit-IOUserDockChannelSerial
  311 ??         5:35.94 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000beb com.apple.DriverKit-AppleBCMWLAN
  315 ??         0:00.70 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000bec com.apple.AppleUserHIDDrivers
  316 ??         0:00.61 /usr/libexec/modelmanagerd
  323 ??         0:02.80 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  324 ??         0:43.53 /usr/libexec/searchpartyd
  325 ??         0:01.43 /usr/libexec/securityd_system
  326 ??         0:06.69 /usr/sbin/WirelessRadioManagerd
  327 ??         0:00.09 /usr/libexec/findmybeaconingd
  328 ??         9:05.35 /System/Library/CoreServices/TimeMachine/backupd
  329 ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  330 ??         0:24.03 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  331 ??         0:02.49 /usr/sbin/distnoted agent
  333 ??         0:01.73 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  334 ??         0:02.45 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  335 ??         0:00.09 /usr/libexec/secinitd
  336 ??         0:00.13 /usr/sbin/cfprefsd agent
  337 ??         0:00.14 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
  338 ??       100:30.17 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  339 ??         0:00.16 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  340 ??         0:00.54 /usr/libexec/trustd --agent
  344 ??         0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  347 ??         0:00.75 /usr/sbin/BTLEServer
  349 ??         0:09.33 /usr/libexec/wifip2pd
  350 ??         0:00.02 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  353 ??         0:00.22 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  354 ??         0:00.09 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  359 ??         0:01.06 /usr/sbin/systemsoundserverd
  360 ??         0:00.11 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  361 ??         0:00.30 /usr/libexec/wifianalyticsd
  362 ??         0:00.45 /private/var/db/com.apple.xpc.roleaccountd.staging/exec/16777234.59891525.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.UpdateBrainService
  363 ??         0:00.28 /usr/libexec/xpcroleaccountd -launchd
  364 ??         0:00.29 /usr/libexec/symptomsd-diag
  365 ??         0:01.45 /usr/libexec/rtcreportingd
  369 ??         0:08.09 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  370 ??         0:02.12 /usr/sbin/distnoted agent
  371 ??         0:14.81 /usr/libexec/sysmond
  372 ??         0:00.50 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  373 ??         0:00.10 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  374 ??         0:00.07 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
  375 ??         0:00.53 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  376 ??         0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDFU.xpc/Contents/MacOS/UARPUpdaterServiceDFU
  377 ??         0:00.10 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  378 ??         0:00.06 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
  379 ??         0:02.07 /usr/sbin/distnoted agent
  380 ??         0:00.09 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
  381 ??         0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  383 ??         0:28.00 /usr/libexec/gamepolicyd
  384 ??         0:00.50 /usr/libexec/captiveagent
  386 ??         0:00.05 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000d17 com.apple.IOUserBluetoothSerialDriver
  388 ??         0:00.28 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  392 ??         0:38.12 /usr/sbin/distnoted agent
  393 ??         0:00.05 /usr/libexec/applekeystored
  394 ??         0:41.89 /usr/sbin/cfprefsd agent
  395 ??         0:00.05 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  396 ??         0:09.31 /usr/libexec/UserEventAgent (Aqua)
  397 ??         0:02.99 /usr/libexec/gamecontrollerd
  398 ??         0:00.29 /usr/libexec/seld
  400 ??         0:04.29 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
