  PID TTY           TIME CMD
  549 ??         0:17.04 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  550 ??         0:00.97 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  551 ??         0:00.81 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
  552 ??         0:07.90 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  553 ??         0:00.33 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
  554 ??         0:03.61 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
  555 ??         0:03.19 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  557 ??         0:27.67 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  558 ??         0:00.90 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
  559 ??         0:12.10 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
  560 ??         0:01.07 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  561 ??         0:01.31 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
  562 ??         0:03.08 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  563 ??         0:00.20 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
  564 ??         0:15.81 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  565 ??         0:00.05 /System/Library/CoreServices/pbs
  566 ??         0:02.66 /System/Library/CoreServices/ScopedBookmarkAgent
  567 ??         0:00.63 /System/Library/ExtensionKit/Extensions/ImageThumbnailExtension.appex/Contents/MacOS/ImageThumbnailExtension
  568 ??         0:00.76 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  569 ??         0:00.72 /usr/libexec/mobileactivationd
  570 ??         0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  571 ??         0:04.13 /usr/libexec/bluetoothuserd
  573 ??         0:01.07 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
  574 ??         0:01.75 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  575 ??         0:25.05 /usr/libexec/searchpartyuseragent
  577 ??         0:00.09 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
  578 ??         0:00.07 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  580 ??         0:01.88 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  581 ??         0:00.57 /usr/libexec/avconferenced
  582 ??         0:12.47 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  583 ??         0:00.25 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  584 ??         0:00.89 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  586 ??         0:00.12 /usr/libexec/seserviced
  587 ??         0:00.04 /System/Library/PrivateFrameworks/CoreThreadCommissionerService.framework/CoreThreadCommissionerServiced
  588 ??         0:14.53 /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
  589 ??         0:00.14 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  590 ??         0:01.38 /usr/libexec/swcd
  591 ??         0:01.30 /usr/libexec/swtransparencyd
  592 ??         0:04.21 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  593 ??         0:00.83 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  594 ??         0:02.86 /System/Library/CoreServices/osanalyticshelper server-init
  595 ??         0:02.04 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  596 ??         0:00.54 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  597 ??         0:02.75 /usr/libexec/AssetCache/AssetCache
  598 ??         0:00.05 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
  599 ??         0:18.04 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
  601 ??         0:03.71 /usr/libexec/aneuserd
  602 ??         0:16.95 /usr/libexec/aned
  603 ??         0:24.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  604 ??         0:18.21 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  605 ??         0:03.01 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
  606 ??         0:09.74 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  609 ??         0:00.65 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
  611 ??        15:12.51 /System/Library/PrivateFrameworks/AppleNeuralEngine.framework/XPCServices/ANECompilerService.xpc/Contents/MacOS/ANECompilerService
  614 ??         0:00.05 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
  615 ??         0:00.06 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
  617 ??         0:00.10 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  618 ??         0:00.16 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
  619 ??         0:01.10 /usr/libexec/promotedcontentd
  620 ??         0:01.20 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  621 ??         0:00.98 /usr/libexec/linkd
  622 ??         0:00.58 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  623 ??         0:02.04 /usr/libexec/fairplaydeviceidentityd
  625 ??         0:00.98 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  626 ??         0:00.61 /usr/libexec/nfcd
  627 ??         0:00.37 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  628 ??         0:02.10 /usr/sbin/distnoted agent
  629 ??         0:00.05 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
  630 ??         0:02.06 /usr/sbin/distnoted agent
  631 ??         0:01.54 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
  635 ??         0:01.65 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  636 ??         0:07.33 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  637 ??         0:02.91 /usr/libexec/gamecontrolleragentd
  638 ??         0:03.50 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  639 ??         0:00.23 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
  640 ??         0:04.99 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
  641 ??         0:00.26 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  642 ??         0:00.76 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
  643 ??         0:00.05 /System/Library/PrivateFrameworks/IASUtilities.framework/Versions/A/Resources/installerauthagent
  644 ??         0:00.58 /usr/libexec/NRDUpdated
  645 ??         0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  646 ??         0:00.64 /System/Library/PrivateFrameworks/StocksKit.framework/XPCServices/StocksKitService.xpc/Contents/MacOS/StocksKitService
  647 ??         0:00.35 /private/var/db/com.apple.xpc.roleaccountd.staging/exec/16777234.74179111.xpc/Contents/MacOS/com.apple.NRD.UpdateBrainService
  648 ??         0:00.14 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent --launchd
  649 ??         0:00.76 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
  650 ??         0:04.10 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  651 ??         0:00.09 /usr/sbin/cfprefsd agent
  654 ??         0:00.05 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
  656 ??         0:18.69 /usr/libexec/siriknowledged
  657 ??         0:13.84 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
  660 ??         0:00.05 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
  663 ??         2:10.70 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  664 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  665 ??         0:00.27 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  670 ??         0:00.02 /System/Library/PrivateFrameworks/Install.framework/Frameworks/DistributionKit.framework/Versions/A/XPCServices/DistributionHelper.xpc/Contents/MacOS/DistributionHelper
  673 ??         0:00.13 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
  674 ??         0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.ComponentTagHelper.xpc/Contents/MacOS/com.apple.audio.ComponentTagHelper
  678 ??         0:00.34 /usr/libexec/audiomxd
  679 ??         0:00.07 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
  680 ??         0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  681 ??         0:00.04 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
  682 ??         0:00.08 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
  683 ??         0:00.19 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_x86_64.appex/Contents/MacOS/WardaSynthesizer_x86_64 -AppleLanguages ("en-IN")
  685 ??         0:00.06 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-IN")
  686 ??         0:00.07 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
  687 ??         0:00.03 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_arm64.appex/Contents/MacOS/WardaSynthesizer_arm64 -AppleLanguages ("en-IN")
  688 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  689 ??         0:01.59 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
  690 ??         0:20.88 /usr/libexec/triald_system
  691 ??         0:00.03 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  692 ??         0:00.26 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
  693 ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  694 ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  695 ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  696 ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  697 ??         0:00.12 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
  698 ??         0:00.12 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
  700 ??         0:01.33 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
  701 ??         0:02.78 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  702 ??         0:00.09 /usr/libexec/secinitd
  703 ??         0:00.14 /usr/sbin/cfprefsd agent
  704 ??         0:00.38 /usr/libexec/trustd --agent
  705 ??         0:00.16 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  706 ??         3:07.16 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  707 ??         0:12.35 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
  709 ??         0:00.05 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  715 ??         0:00.53 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/TelemetryDiskChecker.xpc/Contents/MacOS/TelemetryDiskChecker
  716 ??         0:00.14 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
  717 ??         0:00.09 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
  718 ??         0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fudHelperAgent
  719 ??         0:00.23 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
  720 ??         0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
  721 ??         0:02.06 /usr/sbin/distnoted agent
  722 ??         0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
  723 ??         0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
  724 ??         0:00.04 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  726 ??         0:00.05 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
  728 ??         0:00.07 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
  729 ??         0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
  730 ??         0:00.05 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
  731 ??         0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
  732 ??         0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
  733 ??         0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SoftwareUpdateSubscriber.xpc/Contents/MacOS/SoftwareUpdateSubscriber
  734 ??         0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
  735 ??         0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
  736 ??         0:00.38 /System/Library/PrivateFrameworks/DeviceCheckInternal.framework/devicecheckd
  743 ??         0:00.15 /usr/libexec/online-auth-agent
  744 ??         0:01.15 /usr/libexec/adprivacyd
  745 ??         0:00.20 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
  746 ??         0:00.09 /usr/libexec/keychainsharingmessagingd
  747 ??         0:00.28 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
  750 ??         0:02.99 /usr/libexec/mlhostd
  751 ??         0:00.09 /usr/libexec/feedbackd
  752 ??         0:03.42 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  758 ??         0:06.24 /System/Library/PrivateFrameworks/StreamingZip.framework/Versions/A/XPCServices/com.apple.StreamingUnzipService.privileged.xpc/Contents/MacOS/com.apple.StreamingUnzipService.privileged
  762 ??         0:01.33 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
  768 ??         0:00.15 /System/Library/PrivateFrameworks/StorageManagement.framework/Resources/diskspaced
  770 ??         0:40.03 /usr/sbin/spindump
  771 ??         0:00.24 /System/Library/CoreServices/SubmitDiagInfo server-init
  772 ??         0:00.54 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
  773 ??         0:00.61 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
  781 ??         0:00.27 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
  784 ??         0:00.48 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
  785 ??         0:00.12 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  786 ??         0:00.05 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor
  787 ??         0:00.03 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor
  788 ??         0:00.09 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor
  789 ??         0:00.04 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor
  790 ??         0:02.14 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
  791 ??         0:00.50 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
  792 ??         0:07.66 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
  793 ??         2:23.87 /usr/libexec/duetexpertd
  794 ??         0:00.60 /usr/libexec/inputanalyticsd
  795 ??         0:16.76 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
  796 ??         0:05.34 /System/Library/PrivateFrameworks/People.framework/peopled
  797 ??         0:03.04 /usr/libexec/proactived
  801 ??         0:00.09 /usr/libexec/ASPCarryLog
  802 ??         0:00.18 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  803 ??         0:06.06 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
  804 ??         0:00.77 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
  806 ??         0:00.43 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
  807 ??         0:03.94 cloudphotod
  810 ??         0:00.58 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
  812 ??         1:24.79 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
  814 ??         0:00.10 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
  815 ??         0:02.29 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
  816 ??         0:00.11 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
  818 ??         0:04.31 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
  819 ??         0:00.11 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectUpdateService.xpc/Contents/MacOS/XProtectUpdateService
  824 ??         0:00.05 /usr/libexec/tzd
  825 ??         0:00.37 /usr/libexec/backgroundassets.user
  826 ??         0:01.62 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
  827 ??         0:00.07 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
  828 ??         0:00.57 /System/Library/PrivateFrameworks/PrivateCloudCompute.framework/privatecloudcomputed.app/Contents/MacOS/privatecloudcomputed
  829 ??         0:00.21 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  830 ??         0:03.36 /usr/libexec/tipsd
  831 ??         0:00.31 /usr/libexec/proactiveeventtrackerd
  832 ??         0:00.12 /System/Library/PrivateFrameworks/RemoteManagement.framework/RemoteManagementAgent
  833 ??         0:00.07 /System/Library/PrivateFrameworks/SafariFoundation.framework/Versions/A/XPCServices/SafariConfigurationSubscriber.xpc/Contents/MacOS/SafariConfigurationSubscriber
  834 ??         0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
  835 ??         0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
  836 ??         0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
  840 ??         0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
  841 ??         0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
  842 ??         0:00.12 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/AccountSubscriber.xpc/Contents/MacOS/AccountSubscriber
  843 ??         0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
  844 ??         0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ASConfigurationSubscriber.xpc/Contents/MacOS/ASConfigurationSubscriber
  845 ??         0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedSettingsSubscriber.xpc/Contents/MacOS/ManagedSettingsSubscriber
  848 ??         0:00.05 /usr/libexec/microstackshot
  852 ??         0:00.04 /usr/libexec/sysdiagnosed
  859 ??         0:00.09 /System/Library/PrivateFrameworks/GameControllerFoundation.framework/Versions/A/XPCServices/GameControllerConfigService.xpc/Contents/MacOS/GameControllerConfigService
  860 ??         0:00.07 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/EAUpdaterService.xpc/Contents/MacOS/EAUpdaterService
  861 ??         0:00.05 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
  864 ??         0:00.20 /usr/libexec/MTLAssetUpgraderD
  871 ??         0:00.15 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  872 ??         0:00.23 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
  873 ??         0:00.06 /System/Library/PrivateFrameworks/PodcastServices.framework/XPCServices/PodcastContentService.xpc/Contents/MacOS/PodcastContentService
  874 ??         0:00.47 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
  875 ??         0:04.57 /usr/libexec/ospredictiond
  879 ??         0:00.05 /usr/libexec/DataDetectorsSourceAccess
  895 ??         0:00.22 /usr/libexec/mmaintenanced
  896 ??         0:00.08 /usr/libexec/betaenrollmentagent
  897 ??         0:00.04 /usr/libexec/betaenrollmentd
  913 ??         5:21.00 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
